期号,前区1,前区2,前区3,前区4,前区5,后区1,后区2,奖池奖金(元),一等奖-注数,一等奖-奖金(元),二等奖-注数,二等奖-奖金(元),总投注额(元),开奖日期
25143,3.0,4.0,18.0,24.0,29.0,7.0,12.0,891182916.0,2.0,10000000.0,90.0,153076.0,292194189.0,2025-12-15
25142,9.0,10.0,14.0,27.0,29.0,2.0,9.0,850180600.0,3.0,10000000.0,166.0,72919.0,305166365.0,2025-12-13
25141,4.0,9.0,24.0,28.0,29.0,2.0,10.0,830232369.0,6.0,9722298.0,80.0,178828.0,293217299.0,2025-12-10
25140,4.0,5.0,13.0,18.0,34.0,2.0,8.0,850018675.0,3.0,10000000.0,88.0,135097.0,294883884.0,2025-12-08
25139,8.0,18.0,22.0,30.0,35.0,1.0,4.0,"830,587,732",4.0,"9,709,642",63.0,"276,299","319,213,811",2025/12/6
25138,1.0,3.0,19.0,21.0,23.0,7.0,11.0,"795,955,875",6.0,"7,222,472",79.0,"205,985","299,205,645",2025/12/3
25137,7.0,8.0,9.0,11.0,22.0,5.0,11.0,"784,972,572",7.0,"6,774,667",185.0,"64,465","306,419,813",2025/12/1
25136,7.0,11.0,15.0,16.0,23.0,9.0,11.0,"783,829,598",11.0,"9,163,843",181.0,"102,716","332,166,578",2025/11/29
25135,2.0,10.0,16.0,28.0,32.0,1.0,7.0,"813,180,323",5.0,"7,889,103",127.0,"118,308","310,594,999",2025/11/26
25134,7.0,12.0,18.0,27.0,33.0,9.0,10.0,"793,585,609",8.0,"8,817,317",245.0,"50,171","311,134,788",2025/11/24
25133,4.0,11.0,23.0,27.0,35.0,7.0,11.0,"818,773,871",9.0,"9,025,594",90.0,"179,647","337,536,466",2025/11/22
25132,1.0,9.0,10.0,12.0,19.0,6.0,7.0,"850,074,477",8.0,"8,610,168",125.0,"97,627","313,565,367",2025/11/19
25131,3.0,8.0,25.0,29.0,32.0,9.0,12.0,"878,666,213",3.0,"10,000,000",134.0,"102,430","312,224,838",2025/11/17
25130,1.0,13.0,16.0,27.0,29.0,2.0,11.0,"855,509,809",5.0,"10,000,000",98.0,"202,925","347,978,820",2025/11/15
25129,3.0,9.0,14.0,28.0,35.0,2.0,4.0,"826,944,600",3.0,"10,000,000",86.0,"179,172","327,577,708",2025/11/12
25128,3.0,6.0,26.0,30.0,33.0,11.0,12.0,"806,116,344",9.0,"9,682,656",113.0,"137,766","335,180,121",2025/11/10
25127,4.0,5.0,19.0,28.0,29.0,5.0,8.0,"827,515,757",36.0,"5,427,642",284.0,"22,884","353,038,355",2025/11/8
25126,1.0,8.0,18.0,27.0,30.0,6.0,7.0,"1,033,170,236",8.0,"8,218,910",134.0,"106,490","333,017,418",2025/11/5
25125,10.0,11.0,13.0,19.0,35.0,4.0,11.0,"1,071,539,156",4.0,"10,000,000",116.0,"145,574","333,554,750",2025/11/3
25124,6.0,9.0,14.0,26.0,27.0,8.0,9.0,"1,062,300,761",18.0,"6,587,901",211.0,"50,264","367,907,521",2025/11/1
25123,8.0,13.0,24.0,25.0,31.0,4.0,10.0,"1,136,294,713",9.0,"10,000,000",145.0,"116,755","333,755,324",2025/10/29
25122,2.0,3.0,6.0,16.0,17.0,4.0,5.0,"1,153,025,368",9.0,"8,046,946",119.0,"126,281","332,420,638",2025/10/27
25121,2.0,3.0,8.0,13.0,21.0,7.0,12.0,"1,201,113,535",10.0,"9,198,484",114.0,"150,688","356,833,346",2025/10/25
25120,11.0,13.0,22.0,26.0,35.0,2.0,8.0,"1,229,721,100",8.0,"9,990,487",113.0,"132,079","325,832,725",2025/10/22
25119,8.0,15.0,27.0,29.0,31.0,1.0,7.0,"1,247,363,715",3.0,"10,000,000",83.0,"194,720","319,880,731",2025/10/20
25118,2.0,8.0,9.0,12.0,21.0,4.0,5.0,"1,209,569,201",4.0,"10,000,000",188.0,"68,761","319,584,678",2025/10/18
25117,5.0,10.0,18.0,21.0,29.0,5.0,7.0,"1,200,034,223",12.0,"7,523,798",249.0,"49,320","302,232,387",2025/10/15
25116,2.0,6.0,16.0,22.0,29.0,8.0,12.0,"1,245,943,636",0.0,0,122.0,"113,528","298,992,508",2025/10/13
25115,3.0,12.0,14.0,21.0,35.0,1.0,5.0,"1,188,143,075",3.0,"10,000,000",79.0,"233,905","330,363,634",2025/10/11
25114,3.0,8.0,9.0,12.0,16.0,1.0,5.0,"1,144,042,318",8.0,"8,266,633",110.0,"101,160","286,469,363",2025/10/8
25113,1.0,14.0,18.0,28.0,35.0,2.0,3.0,"1,174,480,898",14.0,"8,165,613",82.0,"193,019","302,539,540",2025/10/6
25112,3.0,4.0,21.0,23.0,24.0,9.0,12.0,"1,222,244,292",7.0,"10,000,000",113.0,"165,203","319,054,991",2025/9/29
25111,2.0,9.0,14.0,21.0,26.0,2.0,12.0,"1,227,497,634",5.0,"10,000,000",152.0,"101,012","331,165,537",2025/9/27
25110,1.0,15.0,22.0,30.0,31.0,2.0,8.0,"1,216,735,503",6.0,"10,000,000",101.0,"147,187","299,730,589",2025/9/24
25109,4.0,8.0,10.0,13.0,26.0,9.0,10.0,"1,212,757,053",3.0,"10,000,000",157.0,"95,406","313,350,591",2025/9/22
25108,14.0,18.0,21.0,24.0,29.0,3.0,6.0,"1,188,449,971",6.0,"10,000,000",125.0,"122,587","341,209,503",2025/9/20
25107,5.0,7.0,8.0,15.0,33.0,6.0,10.0,"1,185,080,984",7.0,"10,000,000",111.0,"115,382","314,311,008",2025/9/17
25106,5.0,6.0,11.0,26.0,29.0,5.0,10.0,"1,199,200,033",12.0,"7,501,830",136.0,"93,464","314,630,148",2025/9/15
25105,15.0,16.0,25.0,28.0,34.0,10.0,12.0,"1,251,025,275",3.0,"10,000,000",75.0,"280,822","341,440,186",2025/9/13
25104,2.0,6.0,9.0,22.0,34.0,2.0,8.0,"1,199,979,893",4.0,"10,000,000",95.0,"170,407","315,640,944",2025/9/10
25103,5.0,8.0,19.0,32.0,34.0,4.0,5.0,"1,180,433,358",4.0,"10,000,000",162.0,"85,006","310,233,728",2025/9/8
25102,9.0,10.0,13.0,26.0,28.0,2.0,4.0,"1,157,865,481",1.0,"10,000,000",100.0,"174,162","336,362,587",2025/9/6
25101,5.0,7.0,19.0,26.0,32.0,8.0,9.0,"1,106,707,325",9.0,"8,239,676",141.0,"91,574","307,833,370",2025/9/3
25100,26.0,28.0,32.0,34.0,35.0,2.0,7.0,"1,140,476,607",2.0,"10,000,000",82.0,"208,143","313,027,593",2025/9/1
25099,6.0,12.0,20.0,26.0,31.0,2.0,4.0,"1,089,336,925",12.0,"7,989,550",301.0,"43,436","333,985,688",2025/8/30
25098,1.0,7.0,9.0,10.0,23.0,10.0,12.0,"1,129,247,144",1.0,"10,000,000",88.0,"169,934","308,524,554",2025/8/27
25097,5.0,24.0,25.0,32.0,34.0,1.0,9.0,"1,077,551,662",3.0,"10,000,000",63.0,"281,700","310,927,488",2025/8/25
25096,2.0,11.0,17.0,22.0,24.0,7.0,9.0,"1,040,644,815",12.0,"7,695,748",223.0,"51,758","332,437,847",2025/8/23
25095,7.0,13.0,14.0,19.0,27.0,6.0,10.0,"1,082,529,388",8.0,"8,079,377",201.0,"54,829","305,061,816",2025/8/20
25094,4.0,9.0,17.0,30.0,33.0,5.0,9.0,"1,116,595,094",13.0,"8,274,828",176.0,"70,315","307,470,270",2025/8/18
25093,1.0,7.0,9.0,16.0,30.0,2.0,5.0,"1,157,754,345",6.0,"10,000,000",126.0,"108,929","330,705,608",2025/8/16
25092,4.0,10.0,17.0,25.0,32.0,5.0,7.0,"1,153,953,579",14.0,"6,332,890",216.0,"55,809","305,765,437",2025/8/13
25091,1.0,19.0,22.0,25.0,27.0,3.0,10.0,"1,254,338,103",2.0,"10,000,000",49.0,"362,728","307,088,100",2025/8/11
25090,6.0,14.0,19.0,22.0,27.0,1.0,4.0,"1,200,005,188",7.0,"9,645,715",221.0,"59,626","331,564,816",2025/8/9
25089,2.0,11.0,12.0,32.0,34.0,3.0,10.0,"1,218,712,702",68.0,"5,572,232",170.0,"87,488","301,829,705",2025/8/6
25088,8.0,9.0,10.0,11.0,35.0,5.0,11.0,"1,540,665,716",9.0,"7,817,069",158.0,"72,241","298,062,525",2025/8/4
25087,5.0,13.0,14.0,16.0,20.0,3.0,8.0,"1,579,681,545",14.0,"6,980,988",149.0,"78,989","315,319,154",2025/8/2
25086,2.0,6.0,23.0,24.0,33.0,1.0,10.0,"1,646,600,668",2.0,"10,000,000",45.0,"379,316","295,578,823",2025/7/30
25085,2.0,5.0,9.0,14.0,33.0,4.0,9.0,"1,595,323,743",25.0,"5,907,764",71.0,"217,226","294,227,352",2025/7/28
25084,9.0,11.0,13.0,18.0,29.0,4.0,11.0,"1,790,261,424",3.0,"10,000,000",89.0,"148,783","315,027,700",2025/7/26
25083,12.0,17.0,18.0,20.0,34.0,2.0,5.0,"1,769,075,337",3.0,"10,000,000",98.0,"145,052","296,169,217",2025/7/23
25082,2.0,3.0,4.0,12.0,26.0,1.0,8.0,"1,735,099,174",4.0,"10,000,000",112.0,"110,917","296,090,839",2025/7/21
25081,1.0,4.0,6.0,15.0,18.0,2.0,3.0,"1,745,616,945",5.0,"10,000,000",75.0,"229,037","321,712,458",2025/7/19
25080,9.0,10.0,18.0,22.0,24.0,3.0,12.0,"1,723,670,049",2.0,"10,000,000",132.0,"101,935","299,028,201",2025/7/16
25079,2.0,14.0,32.0,34.0,35.0,5.0,11.0,"1,685,844,587",3.0,"10,000,000",42.0,"387,849","300,459,382",2025/7/14
25078,7.0,10.0,15.0,21.0,24.0,5.0,6.0,"1,653,989,427",5.0,"10,000,000",193.0,"66,462","322,049,886",2025/7/12
25077,12.0,14.0,16.0,19.0,28.0,1.0,4.0,"1,664,896,850",2.0,"10,000,000",61.0,"297,434","302,633,813",2025/7/9
25076,11.0,18.0,22.0,25.0,29.0,4.0,12.0,"1,612,133,475",7.0,"10,000,000",122.0,"124,331","306,337,461",2025/7/7
25075,8.0,12.0,16.0,19.0,35.0,6.0,9.0,"1,627,185,579",9.0,"8,126,105",142.0,"86,993","327,099,927",2025/7/5
25074,2.0,11.0,15.0,18.0,21.0,5.0,10.0,"1,661,629,014",10.0,"8,367,964",80.0,"163,981","304,472,528",2025/7/2
25073,1.0,4.0,17.0,33.0,34.0,3.0,9.0,"1,695,259,566",11.0,"7,635,760",158.0,"76,908","306,793,454",2025/6/30
25072,4.0,7.0,15.0,24.0,29.0,1.0,4.0,"1,739,661,641",6.0,"10,000,000",131.0,"125,166","337,329,044",2025/6/28
25071,1.0,8.0,25.0,31.0,33.0,5.0,11.0,"1,743,326,978",3.0,"10,000,000",65.0,"211,711","313,848,778",2025/6/25
25070,8.0,9.0,15.0,20.0,22.0,4.0,12.0,"1,718,532,211",2.0,"10,000,000",112.0,"123,539","312,961,169",2025/6/23
25069,4.0,6.0,7.0,33.0,34.0,9.0,10.0,"1,677,561,945",3.0,"10,000,000",71.0,"269,001","338,663,590",2025/6/21
25068,1.0,4.0,17.0,20.0,22.0,4.0,10.0,"1,628,402,090",2.0,"10,000,000",98.0,"159,002","318,966,997",2025/6/18
25067,6.0,10.0,12.0,21.0,22.0,1.0,6.0,"1,588,528,359",5.0,"10,000,000",156.0,"101,197","321,766,533",2025/6/16
25066,15.0,18.0,27.0,28.0,34.0,3.0,6.0,"1,579,075,869",3.0,"10,000,000",95.0,"178,917","339,059,066",2025/6/14
25065,7.0,25.0,32.0,33.0,35.0,4.0,9.0,"1,539,171,328",4.0,"10,000,000",103.0,"123,549","322,427,160",2025/6/11
25064,5.0,10.0,18.0,20.0,34.0,1.0,8.0,"1,534,694,450",2.0,"10,000,000",107.0,"160,826","328,463,659",2025/6/9
25063,5.0,18.0,26.0,29.0,32.0,7.0,10.0,"1,482,278,557",11.0,"7,822,918",102.0,"122,650","353,640,087",2025/6/7
25062,14.0,20.0,27.0,28.0,29.0,6.0,10.0,"1,525,360,041",3.0,"10,000,000",104.0,"172,762","331,453,922",2025/6/4
25061,2.0,11.0,16.0,23.0,28.0,5.0,10.0,"1,489,857,621",10.0,"8,139,831",141.0,"99,022","326,041,766",2025/6/2
25060,12.0,14.0,19.0,33.0,34.0,1.0,7.0,"1,530,054,633",2.0,"10,000,000",97.0,"205,497","344,759,819",2025/5/31
25059,3.0,9.0,10.0,11.0,26.0,1.0,2.0,"1,472,810,542",4.0,"10,000,000",165.0,"81,352","330,253,002",2025/5/28
25058,6.0,11.0,15.0,21.0,23.0,1.0,7.0,"1,457,374,217",3.0,"10,000,000",147.0,"119,413","337,041,717",2025/5/26
25057,9.0,10.0,11.0,12.0,29.0,1.0,10.0,"1,415,654,589",4.0,"10,000,000",191.0,"100,021","379,533,383",2025/5/24
25056,12.0,15.0,28.0,29.0,32.0,8.0,11.0,"1,375,155,245",2.0,"10,000,000",109.0,"158,329","354,948,673",2025/5/21
25055,8.0,10.0,25.0,29.0,30.0,1.0,2.0,"1,329,842,897",6.0,"10,000,000",110.0,"194,591","373,248,241",2025/5/19
25054,3.0,12.0,16.0,21.0,29.0,1.0,2.0,"1,305,673,258",6.0,"10,000,000",143.0,"157,222","400,498,726",2025/5/17
25053,14.0,23.0,29.0,30.0,33.0,6.0,12.0,"1,281,475,210",7.0,"10,000,000",88.0,"238,046","378,116,432",2025/5/14
25052,2.0,4.0,11.0,29.0,30.0,2.0,8.0,"1,261,675,357",3.0,"10,000,000",218.0,"85,037","384,489,687",2025/5/12
25051,2.0,4.0,13.0,29.0,31.0,5.0,12.0,"1,208,341,380",5.0,"10,000,000",156.0,"89,634","402,596,942",2025/5/10
25050,15.0,18.0,20.0,21.0,34.0,4.0,10.0,"1,220,697,850",7.0,"10,000,000",137.0,"113,717","380,353,203",2025/5/7
25049,9.0,20.0,22.0,29.0,34.0,3.0,8.0,"1,233,463,085",10.0,"9,368,639",78.0,"227,748","350,534,405",2025/5/5
25048,2.0,6.0,17.0,23.0,35.0,6.0,11.0,"1,258,998,704",2.0,"10,000,000",126.0,"140,526","364,105,069",2025/5/3
25047,3.0,10.0,11.0,12.0,21.0,2.0,3.0,"1,202,271,493",9.0,"10,000,000",167.0,"105,515","367,385,544",2025/4/30
25046,4.0,10.0,15.0,20.0,34.0,4.0,7.0,"1,213,336,580",4.0,"10,000,000",110.0,"123,790","367,246,953",2025/4/28
25045,8.0,11.0,21.0,23.0,27.0,3.0,8.0,"1,207,089,478",10.0,"9,199,763",140.0,"126,988","394,950,774",2025/4/26
25044,15.0,17.0,21.0,22.0,26.0,2.0,8.0,"1,237,807,813",4.0,"10,000,000",132.0,"123,720","368,611,600",2025/4/23
25043,3.0,16.0,20.0,21.0,27.0,9.0,11.0,"1,212,466,180",2.0,"10,000,000",143.0,"132,632","362,168,053",2025/4/21
25042,6.0,8.0,11.0,18.0,20.0,5.0,11.0,"1,157,421,362",2.0,"10,000,000",164.0,"105,826","391,234,678",2025/4/19
25041,3.0,4.0,21.0,22.0,27.0,5.0,11.0,"1,110,680,828",8.0,"8,448,564",109.0,"128,409","372,136,085",2025/4/16
25040,2.0,8.0,16.0,31.0,32.0,4.0,12.0,"1,147,506,477",4.0,"10,000,000",154.0,"100,484","365,388,846",2025/4/14
25039,3.0,7.0,14.0,15.0,19.0,6.0,10.0,"1,128,975,871",4.0,"10,000,000",99.0,"192,059","380,283,087",2025/4/12
25038,7.0,8.0,20.0,26.0,34.0,8.0,9.0,"1,098,668,136",4.0,"10,000,000",145.0,"106,912","367,355,129",2025/4/9
25037,5.0,20.0,23.0,27.0,31.0,4.0,6.0,"1,078,059,212",3.0,"10,000,000",78.0,"202,241","302,429,281",2025/4/7
25036,4.0,7.0,13.0,27.0,30.0,2.0,6.0,"1,044,099,471",4.0,"10,000,000",87.0,"162,675","303,323,074",2025/4/5
25035,22.0,25.0,28.0,29.0,30.0,4.0,8.0,"1,034,539,140",6.0,"10,000,000",85.0,"167,168","290,834,566",2025/4/2
25034,4.0,15.0,22.0,28.0,33.0,6.0,8.0,"1,046,884,586",12.0,"6,578,028",143.0,"81,044","291,102,580",2025/3/31
25033,1.0,2.0,8.0,10.0,33.0,10.0,12.0,"1,132,503,712",3.0,"10,000,000",107.0,"144,899","312,033,249",2025/3/29
25032,12.0,22.0,25.0,27.0,28.0,1.0,2.0,"1,094,382,586",0.0,0,62.0,"261,176","303,333,312",2025/3/26
25031,14.0,18.0,20.0,25.0,35.0,1.0,7.0,"1,024,377,873",4.0,"10,000,000",72.0,"247,703","311,643,171",2025/3/24
25030,3.0,9.0,14.0,24.0,28.0,6.0,7.0,"995,094,280",9.0,"7,699,188",178.0,"72,009","338,162,194",2025/3/22
25029,5.0,9.0,26.0,31.0,33.0,3.0,10.0,"1,043,234,948",2.0,"10,000,000",144.0,"100,702","314,474,524",2025/3/19
25028,6.0,8.0,20.0,25.0,29.0,3.0,7.0,"1,006,966,152",7.0,"8,904,156",103.0,"127,524","313,737,340",2025/3/17
25027,3.0,6.0,11.0,13.0,20.0,1.0,11.0,"1,035,665,608",8.0,"10,000,000",117.0,"151,904","333,487,900",2025/3/15
25026,2.0,3.0,7.0,17.0,30.0,1.0,9.0,"1,039,296,517",1.0,"10,000,000",80.0,"161,515","313,696,373",2025/3/12
25025,3.0,6.0,8.0,10.0,25.0,3.0,7.0,"993,864,524",7.0,"7,559,158",137.0,"75,409","313,678,335",2025/3/10
25024,6.0,12.0,13.0,16.0,23.0,5.0,8.0,"1,035,953,603",14.0,"6,364,847",132.0,"65,034","331,854,703",2025/3/8
25023,10.0,20.0,22.0,24.0,25.0,9.0,12.0,"1,115,584,484",4.0,"10,000,000",93.0,"178,006","302,766,777",2025/3/5
25022,1.0,11.0,13.0,27.0,29.0,4.0,10.0,"1,103,298,038",7.0,"9,280,845",102.0,"115,866","298,217,183",2025/3/3
25021,10.0,18.0,25.0,30.0,35.0,3.0,12.0,"1,123,599,303",7.0,"10,000,000",115.0,"117,927","335,200,766",2025/3/1
25020,1.0,9.0,12.0,22.0,29.0,5.0,9.0,"1,132,471,892",8.0,"8,494,966",146.0,"67,527","300,087,089",2025/2/26
25019,7.0,8.0,11.0,18.0,23.0,3.0,11.0,"1,159,248,699",7.0,"8,207,321",199.0,"56,096","296,357,549",2025/2/24
25018,1.0,7.0,9.0,20.0,28.0,1.0,4.0,"1,191,928,482",16.0,"7,273,028",84.0,"182,563","314,802,603",2025/2/22
25017,10.0,12.0,26.0,28.0,31.0,3.0,10.0,"1,260,507,194",1.0,"10,000,000",93.0,"144,416","288,044,955",2025/2/19
25016,5.0,7.0,12.0,20.0,29.0,8.0,12.0,"1,212,239,218",12.0,"6,900,770",157.0,"87,391","288,272,949",2025/2/17
25015,7.0,10.0,24.0,31.0,35.0,1.0,8.0,"1,290,950,589",4.0,"10,000,000",84.0,"178,523","314,676,590",2025/2/15
25014,5.0,19.0,22.0,29.0,35.0,2.0,10.0,"1,278,086,020",4.0,"10,000,000",128.0,"106,474","289,867,311",2025/2/12
25013,14.0,16.0,18.0,20.0,35.0,2.0,5.0,"1,260,404,090",5.0,"10,000,000",81.0,"201,895","289,136,668",2025/2/10
25012,2.0,18.0,19.0,21.0,25.0,2.0,11.0,"1,240,397,719",2.0,"10,000,000",97.0,"183,282","358,739,098",2025/2/8
25011,3.0,6.0,7.0,11.0,27.0,2.0,8.0,"1,183,329,142",5.0,"9,667,253",163.0,"65,086","373,437,138",2025/1/25
25010,5.0,21.0,28.0,30.0,32.0,7.0,12.0,"1,197,169,902",6.0,"10,000,000",86.0,"171,799","314,170,042",2025/1/22
25009,3.0,19.0,21.0,30.0,32.0,6.0,9.0,"1,207,630,140",5.0,"10,000,000",126.0,"108,815","308,814,993",2025/1/20
25008,1.0,5.0,7.0,13.0,35.0,5.0,12.0,"1,208,994,729",7.0,"10,000,000",132.0,"94,439","336,989,378",2025/1/18
25007,15.0,22.0,23.0,25.0,31.0,1.0,9.0,"1,221,403,982",1.0,"10,000,000",70.0,"271,022","311,942,681",2025/1/15
25006,3.0,4.0,13.0,19.0,35.0,3.0,10.0,"1,157,222,669",4.0,"10,000,000",104.0,"141,473","315,397,229",2025/1/13
25005,5.0,6.0,8.0,31.0,32.0,9.0,11.0,"1,135,025,880",4.0,"9,839,697",212.0,"54,953","313,119,385",2025/1/11
25004,2.0,5.0,9.0,13.0,33.0,1.0,7.0,"1,149,680,406",3.0,"10,000,000",102.0,"138,323","294,103,605",2025/1/8
25003,10.0,25.0,30.0,32.0,34.0,4.0,10.0,"1,125,887,685",1.0,"10,000,000",46.0,"385,970","302,634,553",2025/1/6
25002,19.0,21.0,22.0,28.0,32.0,6.0,9.0,"1,059,802,300",7.0,"8,977,032",90.0,"140,909","328,380,460",2025/1/4
25001,5.0,8.0,16.0,17.0,27.0,4.0,7.0,"1,083,648,909",12.0,"7,654,708",162.0,"62,463","300,925,149",2025/1/1
24152,1.0,2.0,7.0,8.0,31.0,2.0,10.0,"1,125,809,266",3.0,"10,000,000",145.0,"113,095","303,398,169",2024/12/30
24151,5.0,12.0,17.0,19.0,35.0,10.0,11.0,"1,100,535,289",5.0,"10,000,000",109.0,"146,038","315,044,922",2024/12/28
24150,4.0,11.0,23.0,25.0,34.0,5.0,7.0,"1,082,499,928",2.0,"10,000,000",146.0,"85,346","294,938,543",2024/12/25
24149,2.0,5.0,16.0,18.0,22.0,7.0,9.0,"1,046,459,747",3.0,"10,000,000",108.0,"110,866","293,475,449",2024/12/23
24148,6.0,9.0,20.0,32.0,35.0,8.0,11.0,"1,027,404,436",2.0,"10,000,000",119.0,"109,466","319,089,575",2024/12/21
24147,12.0,18.0,21.0,22.0,31.0,1.0,7.0,"981,658,901",0.0,0,75.0,"223,695","297,698,975",2024/12/18
24146,5.0,20.0,21.0,22.0,32.0,3.0,4.0,"912,659,139",6.0,"9,555,674",125.0,"106,831","296,215,559",2024/12/16
24145,1.0,6.0,9.0,22.0,24.0,1.0,3.0,"931,270,188",4.0,"10,000,000",95.0,"174,535","320,626,163",2024/12/14
24144,6.0,7.0,8.0,21.0,30.0,1.0,5.0,"901,592,547",4.0,"10,000,000",119.0,"119,813","298,735,511",2024/12/11
24143,16.0,20.0,22.0,24.0,31.0,4.0,5.0,"887,487,585",6.0,"9,370,240",144.0,"80,121","299,228,472",2024/12/9
24142,8.0,21.0,24.0,33.0,34.0,3.0,10.0,"908,929,975",13.0,"6,849,783",88.0,"112,528","327,282,822",2024/12/7
24141,2.0,6.0,7.0,16.0,20.0,2.0,11.0,"966,806,148",7.0,"8,545,200",154.0,"71,205","302,351,348",2024/12/4
24140,3.0,6.0,15.0,23.0,31.0,1.0,12.0,"992,732,461",4.0,"10,000,000",112.0,"128,171","313,586,274",2024/12/2
24139,5.0,12.0,20.0,23.0,24.0,5.0,7.0,"965,113,949",9.0,"8,236,640",160.0,"105,433","346,398,503",2024/11/30
24138,5.0,17.0,20.0,28.0,34.0,4.0,9.0,"1,009,101,192",3.0,"10,000,000",79.0,"190,337","314,640,260",2024/11/27
24137,8.0,15.0,16.0,17.0,21.0,2.0,5.0,"987,311,039",3.0,"10,000,000",119.0,"104,452","314,223,012",2024/11/25
24136,1.0,17.0,20.0,29.0,34.0,7.0,8.0,"975,020,597",1.0,"10,000,000",105.0,"165,661","339,548,742",2024/11/23
24135,6.0,8.0,22.0,24.0,30.0,3.0,8.0,"908,783,183",11.0,"7,341,497",290.0,"39,797","312,278,951",2024/11/20
24134,1.0,4.0,7.0,13.0,33.0,5.0,6.0,"961,163,599",4.0,"10,000,000",123.0,"112,009","315,446,181",2024/11/18
24133,8.0,10.0,14.0,22.0,29.0,4.0,6.0,"939,926,814",6.0,"10,000,000",105.0,"148,951","340,137,954",2024/11/16
24132,5.0,6.0,10.0,16.0,31.0,6.0,9.0,"940,646,992",6.0,"9,953,712",86.0,"140,888","313,339,293",2024/11/13
24131,2.0,3.0,4.0,21.0,26.0,2.0,3.0,"955,783,255",10.0,"8,892,360",86.0,"181,338","314,078,746",2024/11/11
24130,11.0,21.0,25.0,31.0,32.0,4.0,10.0,"986,242,259",6.0,"10,000,000",113.0,"132,321","324,915,160",2024/11/9
24129,7.0,19.0,30.0,31.0,34.0,5.0,7.0,"998,345,495",3.0,"10,000,000",78.0,"181,532","293,942,499",2024/11/6
24128,3.0,7.0,10.0,29.0,31.0,1.0,3.0,"966,301,156",2.0,"10,000,000",75.0,"214,022","295,772,015",2024/11/4
24127,2.0,3.0,10.0,16.0,28.0,7.0,10.0,"924,642,774",4.0,"10,000,000",146.0,"107,175","320,316,369",2024/11/2
24126,2.0,10.0,17.0,28.0,34.0,7.0,8.0,"905,005,034",5.0,"10,000,000",112.0,"122,664","294,045,224",2024/10/30
24125,10.0,14.0,19.0,24.0,26.0,1.0,10.0,"892,379,303",3.0,"10,000,000",77.0,"202,295","287,673,530",2024/10/28
24124,2.0,3.0,7.0,10.0,25.0,1.0,11.0,"858,545,811",5.0,"10,000,000",93.0,"148,884","305,128,586",2024/10/26
